year,sub_sector_verbatim,planning_area,weight_of_market_share,customer_expectations_score,perceived_overall_quality_score,perceived_value_score,customer_satisfaction_score,customer_loyalty‎_user_trust_score,app_agg_convenience,app_agg_safety,app_agg_customer_service,app_agg_service_info,app_agg_comfort,app_agg_promo,app_agg_affordability
2017,TaxiorCarBookingApp,WOODLANDS,1.095505618,63.544999,70.203455,83.51104,66.36943,68.768313,7.5,8,7.67,6.67,7.5,8,8
2017,TaxiorCarBookingApp,WOODLANDS,0.575842697,76.770897,70.203455,72.044516,77.427051,63.629769,7.75,8.5,8,8,7,0,6
2017,TaxiorCarBookingApp,WOODLANDS,1.095505618,63.544999,81.926803,72.399929,84.852288,75.728997,8,8,7.67,6.67,7.5,7,7
2016,TaxiorCarBookingApp,WOODLANDS,1.488203267,81.624266,70.770247,67.035182,70.054457,70.513206,3.5,7.5,0,7.33,7,9,7
2017,TaxiorCarBookingApp,YISHUN,1.095505618,85.767221,74.240989,77.422365,85.500252,86.333958,8.5,8,7,8,8.5,7,7
2017,TaxiorCarBookingApp,YISHUN,0.758426966,70.795215,77.777778,67.02208,62.980793,80.284344,8.75,8,7.33,7.67,8,0,7
2017,TaxiorCarBookingApp,YISHUN,0.758426966,76.770897,82.483294,72.399929,85.500252,63.629769,8.5,8,7.67,8.67,8.5,9,8
2017,TaxiorCarBookingApp,YISHUN,1.464185393,69.788334,74.240989,72.399929,88.538162,72.740463,8.25,8.5,8,8,7,7,7
2016,TaxiorCarBookingApp,YISHUN,1.488203267,77.953768,59.659136,83.149076,73.35344,74.196651,3.75,7,0,8,7,9,8
2016,TaxiorCarBookingApp,YISHUN,1.488203267,74.283271,66.754469,72.037964,63.367683,62.676268,3.75,8,0,9,8,8,7
2016,TaxiorCarBookingApp,YISHUN,1.154264973,59.149681,73.674198,77.777778,66.755473,68.201435,3,8,0,8.33,7.5,7,6
2016,TaxiorCarBookingApp,YISHUN,1.154264973,88.888889,70.038729,67.035182,63.278877,63.59713,3,8,0,8,8,9,9
2016,TaxiorCarBookingApp,YISHUN,1.154264973,96.153512,81.96916,83.149076,84.464551,100,4,7.5,0,7,7.5,6,9
