planning_area,,year,weight_of_market_share,customer_expectations_score,perceived_overall_quality_score,perceived_value_score,customer_satisfaction_score,customer_loyalty‎_user_trust_score,bus_agg_service_info,bus_agg_safety,bus_agg_comfort,bus_agg_convenience,bus_agg_customer_service
CHOA CHU KANG,customer_loyalty‎_user_trust_score,,0.87,-0.5,-1.0,-0.5,-1.0,1.0,1.0,0.5,1.0,-0.87,0.87
CHOA CHU KANG,bus_agg_service_info,,0.87,-0.5,-1.0,-0.5,-1.0,1.0,1.0,0.5,1.0,-0.87,0.87
CHOA CHU KANG,bus_agg_safety,,0.0,0.5,-0.5,0.5,-0.5,0.5,0.5,1.0,0.5,-0.87,0.0
CHOA CHU KANG,bus_agg_comfort,,0.87,-0.5,-1.0,-0.5,-1.0,1.0,1.0,0.5,1.0,-0.87,0.87
CHOA CHU KANG,bus_agg_convenience,,-0.5,0.0,0.87,0.0,0.87,-0.87,-0.87,-0.87,-0.87,1.0,-0.5
CHOA CHU KANG,bus_agg_customer_service,,1.0,-0.87,-0.87,-0.87,-0.87,0.87,0.87,0.0,0.87,-0.5,1.0
CLEMENTI,year,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
CLEMENTI,weight_of_market_share,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
CLEMENTI,customer_expectations_score,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
CLEMENTI,perceived_overall_quality_score,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0
CLEMENTI,perceived_value_score,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0
CLEMENTI,customer_satisfaction_score,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
CLEMENTI,customer_loyalty‎_user_trust_score,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
CLEMENTI,bus_agg_service_info,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0
CLEMENTI,bus_agg_safety,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0
CLEMENTI,bus_agg_comfort,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
CLEMENTI,bus_agg_convenience,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0
CLEMENTI,bus_agg_customer_service,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
HOUGANG,year,1.0,-0.4,0.77,0.08,0.23,0.24,0.38,-0.19,0.03,0.16,0.03,0.04
HOUGANG,weight_of_market_share,-0.4,1.0,-0.18,0.12,-0.24,-0.34,-0.01,-0.13,0.1,0.14,0.0,-0.02
HOUGANG,customer_expectations_score,0.77,-0.18,1.0,0.48,0.65,0.51,0.54,0.14,0.38,0.37,0.35,0.38
HOUGANG,perceived_overall_quality_score,0.08,0.12,0.48,1.0,0.73,0.73,0.74,0.54,0.73,0.59,0.84,0.81
HOUGANG,perceived_value_score,0.23,-0.24,0.65,0.73,1.0,0.85,0.54,0.49,0.56,0.35,0.69,0.74
