planning_area,,year,weight_of_market_share,customer_expectations_score,perceived_overall_quality_score,perceived_value_score,customer_satisfaction_score,customer_loyalty‎_user_trust_score
QUEENSTOWN,train_agg_customer_service,,-1.0,1.0,1.0,1.0,1.0,1.0
QUEENSTOWN,train_agg_convenience,,-1.0,1.0,1.0,1.0,1.0,1.0
QUEENSTOWN,train_agg_comfort,,-1.0,1.0,1.0,1.0,1.0,1.0
QUEENSTOWN,train_agg_safety,,-1.0,1.0,1.0,1.0,1.0,1.0
ROCHOR,year,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0
ROCHOR,weight_of_market_share,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0
ROCHOR,customer_loyalty‎_user_trust_score,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0
ROCHOR,train_agg_service_info,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0
ROCHOR,train_agg_customer_service,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0
ROCHOR,train_agg_safety,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0
SEMBAWANG,year,1.0,0.87,0.87,-0.87,0.0,-0.87,0.0
SEMBAWANG,weight_of_market_share,0.87,1.0,0.5,-1.0,-0.5,-1.0,-0.5
SEMBAWANG,customer_loyalty‎_user_trust_score,0.0,-0.5,0.5,0.5,1.0,0.5,1.0
SEMBAWANG,train_agg_service_info,-0.5,-0.87,0.0,0.87,0.87,0.87,0.87
SEMBAWANG,train_agg_customer_service,-0.5,-0.87,0.0,0.87,0.87,0.87,0.87
SEMBAWANG,train_agg_convenience,0.5,0.0,0.87,0.0,0.87,0.0,0.87
SEMBAWANG,train_agg_comfort,-0.5,-0.87,0.0,0.87,0.87,0.87,0.87
SEMBAWANG,train_agg_safety,0.5,0.0,0.87,0.0,0.87,0.0,0.87
SENGKANG,year,1.0,-0.2,0.08,-0.22,0.15,-0.21,0.13
SENGKANG,weight_of_market_share,-0.2,1.0,0.09,-0.13,-0.34,-0.21,-0.35
SENGKANG,customer_loyalty‎_user_trust_score,0.13,-0.35,-0.0,0.29,0.4,0.49,1.0
SENGKANG,train_agg_service_info,0.79,-0.5,0.25,0.09,0.3,0.12,0.42
SENGKANG,train_agg_customer_service,0.78,-0.37,0.08,-0.02,0.36,-0.0,0.53
SENGKANG,train_agg_convenience,0.55,-0.5,0.24,0.27,0.41,0.36,0.47
SENGKANG,train_agg_comfort,0.77,-0.48,0.1,0.12,0.4,0.13,0.43
SENGKANG,train_agg_safety,-0.1,-0.21,0.43,0.76,0.51,0.78,0.42
SERANGOON,year,1.0,-0.11,0.19,-0.15,0.11,-0.11,0.22
SERANGOON,weight_of_market_share,-0.11,1.0,-0.73,-0.37,-0.59,-0.4,-0.81
SERANGOON,customer_loyalty‎_user_trust_score,0.22,-0.81,0.67,0.72,0.66,0.31,1.0
SERANGOON,train_agg_service_info,0.81,-0.2,0.4,0.29,0.07,0.35,0.38
SERANGOON,train_agg_customer_service,0.8,-0.01,0.26,0.37,0.2,0.22,0.37
SERANGOON,train_agg_convenience,0.65,0.02,0.35,0.3,0.12,0.54,0.14
SERANGOON,train_agg_comfort,0.88,0.04,0.21,0.07,-0.06,0.11,0.16
SERANGOON,train_agg_safety,-0.18,-0.33,0.66,0.82,0.61,0.77,0.53
TAMPINES,year,1.0,-0.36,0.13,0.22,0.37,0.01,0.22
TAMPINES,weight_of_market_share,-0.36,1.0,0.42,0.4,0.33,0.52,0.07
TAMPINES,customer_loyalty‎_user_trust_score,0.22,0.07,0.09,0.25,0.38,0.21,1.0
TAMPINES,train_agg_service_info,0.4,-0.12,-0.02,0.18,0.46,0.44,0.2
TAMPINES,train_agg_customer_service,0.43,0.02,0.32,0.29,0.3,0.53,0.2
